Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,10/19/2012,0:17,474.1,2,12.02,386.2,2,11.16,1013.7,26.8,96.99,-999,-999,479.9,390.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/19/2012,3:17,542.3,2,11.43,386.7,2,10.67,1014,26.8,97.74,-999,-999,548.5,390.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/19/2012,6:17,556.5,2,11.14,386.9,2,10.61,1016.5,26.7,97.49,-999,-999,562.8,391.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/19/2012,9:17,611.9,2,11.07,387.3,2,10.66,1016.7,26.6,96.15,-999,-999,618.7,391.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/19/2012,12:17,559.7,2,11.05,387.5,2,10.65,1016.1,26.5,94.69,-999,-999,565.9,391.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/19/2012,15:17,763.1,2,11.1,387.1,2,10.67,1015.8,26.3,92.88,-999,-999,771.6,391.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/19/2012,18:17,553.8,2,11.55,386.7,2,10.83,1017,26.2,93.61,-999,-999,560.3,390.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/19/2012,21:17,511.1,2,11.92,386.6,2,10.86,1016.6,26.6,95,-999,-999,517.3,390.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/20/2012,0:17,412.8,2,12.08,386.9,2,10.97,1014.7,26.8,98.28,-999,-999,417.8,391.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/20/2012,3:17,367.8,2,12.03,386.6,2,11.09,1014.7,26.8,101.01,-999,-999,372.2,391,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/20/2012,6:17,389.3,2,11.01,387.2,2,10.54,1016.1,26.6,100.97,-999,-999,393.6,391.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/20/2012,9:17,444.7,2,11.12,387.3,2,10.52,1016.1,26.5,99.38,-999,-999,449.7,391.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/20/2012,12:17,672.8,2,11.01,387.7,2,10.5,1015.1,26.4,97.14,-999,-999,680.3,391.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/20/2012,15:17,736.7,2,11.16,388.1,2,10.7,1014.5,26.2,95.09,-999,-999,745,392.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/20/2012,18:17,667.1,2,11.56,387.5,2,11.03,1015.4,26.2,93.96,-999,-999,674.9,391.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/20/2012,21:17,498.2,2,12.21,387.2,2,11.2,1015.4,26.5,95.17,-999,-999,504.4,391.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/21/2012,0:17,454.4,2,12.53,386.7,2,11.53,1013.5,26.9,97.54,-999,-999,460.1,391.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/21/2012,3:17,397.4,2,11.55,386.5,2,11.09,1014.2,27.1,100.63,-999,-999,402,390.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/21/2012,6:17,432.2,2,11.16,387.1,2,11.02,1015.7,26.9,101.17,-999,-999,437.1,391.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/21/2012,9:17,438.4,2,11.33,387.8,2,10.89,1016.1,26.8,99.89,-999,-999,443.4,392.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/21/2012,12:17,521.7,2,11.1,388.2,2,10.63,1014.9,26.6,97.1,-999,-999,527.5,392.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/21/2012,15:17,651.1,2,11.2,388.4,2,10.67,1014.6,26.5,95.17,-999,-999,658.4,392.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/21/2012,18:17,653.4,2,11.87,388,2,11.03,1015.7,26.3,93.91,-999,-999,661.2,392.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/21/2012,21:17,512.1,2,12.09,387.7,2,11.09,1015.8,26.8,94.36,-999,-999,518.4,392,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/22/2012,0:17,447,2,12.17,387.8,2,11.15,1013.9,26.8,97.07,-999,-999,452.5,392.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/22/2012,3:17,340.3,2,11.87,387.3,2,10.98,1014.3,26.9,100.68,-999,-999,344.3,391.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/22/2012,6:17,352.6,2,11.16,387.4,2,10.61,1016.1,26.8,101.35,-999,-999,356.6,391.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/22/2012,9:17,424.3,2,11.23,387.6,2,10.71,1016.2,26.6,99.69,-999,-999,429.1,391.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/22/2012,12:17,581.1,2,11.16,388.1,2,10.72,1015,26.5,96.61,-999,-999,587.7,392.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/22/2012,15:17,639.4,2,11.1,387.7,2,10.51,1014.9,26.4,94.65,-999,-999,646.6,391.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/22/2012,18:17,585.4,2,11.87,387.5,2,11.04,1016.4,26.3,93.79,-999,-999,592.4,391.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/22/2012,21:17,522.1,2,12.28,387.3,2,11.31,1015.9,26.6,94.08,-999,-999,528.5,391.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/23/2012,0:17,472.7,2,12.2,387,2,11.22,1013.4,26.9,95.61,-999,-999,478.6,391.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/23/2012,3:17,365.5,2,11.43,386.4,2,10.73,1013.2,26.9,98.78,-999,-999,369.7,390.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/23/2012,6:17,374.7,2,11.25,387.3,2,10.51,1015.3,26.8,99.09,-999,-999,379,391.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/23/2012,9:17,451.1,2,11.22,387.2,2,10.49,1015.3,26.6,97.62,-999,-999,456.2,391.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/23/2012,12:17,535.4,2,11.08,387.7,2,10.43,1014.3,26.5,95.41,-999,-999,541.4,391.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/23/2012,15:17,628.4,2,11.24,387.9,2,10.69,1013.9,26.3,93.25,-999,-999,635.5,392.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/23/2012,18:17,596.4,2,11.4,387.3,2,10.89,1015.3,26.3,92.59,-999,-999,603.3,391.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/23/2012,21:17,554.5,2,12.26,388.1,2,11.3,1014.7,26.5,93.05,-999,-999,561.4,392.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/24/2012,0:17,472.8,2,12.73,387.1,2,12.25,1011.9,26.8,94.81,-999,-999,478.9,391.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/24/2012,3:17,477.3,2,12.31,387.1,2,11.26,1012.4,27.4,96.35,-999,-999,483.2,391.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/24/2012,6:17,457.1,2,10.81,391,2,10.7,1014.2,27.1,98.35,-999,-999,462,395.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/24/2012,9:17,391.3,2,10.7,397.7,2,10.63,1014,26.7,100.15,-999,-999,395.5,402,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/24/2012,12:17,502,2,10.91,392.2,2,10.69,1012.3,26.3,99.45,-999,-999,507.5,396.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/24/2012,15:17,557.6,2,11.07,389,2,10.77,1011.6,26.1,98.01,-999,-999,563.8,393.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/24/2012,18:17,749.4,2,10.51,391.7,2,10.55,1013,26,94.26,-999,-999,757.4,395.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/24/2012,21:17,764.8,2,12.46,388.1,2,12.05,1012.7,26.1,91.37,-999,-999,774.4,392.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/25/2012,0:17,494.3,2,11.85,387.1,2,11.28,1010.4,27.2,94.22,-999,-999,500.3,391.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/25/2012,3:17,547.7,2,11.34,387.2,2,11.04,1010.8,27.2,94.94,-999,-999,554,391.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/25/2012,6:17,630.7,2,10.71,390.3,2,10.77,1012.5,26.9,93.84,-999,-999,637.5,394.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/25/2012,9:17,827.7,2,10.98,409.9,2,11.1,1013.4,26.4,91.19,-999,-999,836.9,414.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/25/2012,12:17,594,2,10.94,403,2,11,1012.7,26.2,90.57,-999,-999,600.6,407.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/25/2012,15:17,659.7,2,10.91,396,2,11,1012.9,26,89.53,-999,-999,667,400.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/25/2012,18:17,1078.4,2,11.8,410.3,2,11.73,1014.1,25.9,85.34,-999,-999,1091.2,415.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/25/2012,21:17,738.3,2,12.45,387.2,2,12.43,1014,26.7,84.44,-999,-999,747.6,392,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/26/2012,0:17,596.1,2,11.93,387.8,2,11.02,1012.2,27.6,85.84,-999,-999,603.3,392.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/26/2012,3:17,524,2,12,387.1,2,11.43,1012.8,27.7,89.01,-999,-999,530.4,391.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/26/2012,6:17,526.8,2,11.12,387.3,2,10.98,1015.6,27.5,90.88,-999,-999,532.7,391.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/26/2012,9:17,576.3,2,10.79,421.3,3,10.86,1015.5,27.1,91.18,-999,-999,582.5,425.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/26/2012,12:17,710.2,2,10.7,401,2,10.75,1014.3,26.5,89.74,-999,-999,717.9,405.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/26/2012,15:17,616.4,2,10.68,392.3,2,10.68,1015.3,26.1,89.58,-999,-999,623,396.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/26/2012,18:17,593.2,2,11.73,401.9,2,11.43,1017.4,25.9,90.16,-999,-999,600.2,406.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/26/2012,21:17,724.9,2,12.59,389,2,12.55,1017.3,27.3,89.22,-999,-999,734.2,393.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/27/2012,0:17,598.8,2,6.04,-999,4,5.15,1015.7,28.6,89.96,-999,-999,602.4,-999,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/27/2012,3:17,507.3,2,12.09,387,2,11.25,1016.1,28.8,93.86,-999,-999,513.5,391.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/27/2012,6:17,623.7,2,11.27,386.5,2,10.96,1017.9,28.3,93.74,-999,-999,630.8,390.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/27/2012,9:17,532.1,2,11.37,387,2,11.06,1018.3,27.6,94.8,-999,-999,538.2,391.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/27/2012,12:17,519.1,2,11.13,395.9,2,10.83,1017.3,27.2,95.43,-999,-999,524.9,400.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/27/2012,15:17,537.4,2,11.04,395.5,2,10.85,1017.3,26.7,95.57,-999,-999,543.4,399.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/27/2012,18:17,643.9,2,11.81,395,2,11.32,1018.6,26.4,94.07,-999,-999,651.6,399.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/27/2012,21:17,584.6,2,13.03,386.2,2,12.98,1018.2,27.6,94.3,-999,-999,592.3,391.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/28/2012,0:17,651.4,2,13.08,385.5,2,11.86,1015.7,29,93.1,-999,-999,660,390.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/28/2012,3:17,556.2,2,11.9,386.3,2,11.32,1015.8,29.1,94.16,-999,-999,562.9,390.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/28/2012,6:17,498.9,2,11.83,386.1,2,11.47,1017.5,28.3,94.99,-999,-999,504.9,390.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/28/2012,9:17,503.4,2,11.61,386.2,2,11.42,1017.5,27.7,94.71,-999,-999,509.3,390.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/28/2012,12:17,511.4,2,11.18,387.1,2,11.14,1016.1,27.2,94.99,-999,-999,517.2,391.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/28/2012,15:17,531,2,11.4,387,2,11.06,1015.9,26.8,94.9,-999,-999,537.1,391.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/28/2012,18:17,553.1,2,12.17,387.1,2,11.2,1017.4,26.7,94.61,-999,-999,559.9,391.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/28/2012,21:17,558.6,2,12.8,386.9,2,11.48,1017.1,27.2,95.43,-999,-999,565.8,391.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/29/2012,0:17,534,2,12.19,386.8,2,11.18,1015.1,27.7,96.39,-999,-999,540.6,391.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/29/2012,3:17,520,2,11.47,387.2,2,11.15,1015.7,27.6,96.97,-999,-999,526.1,391.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/29/2012,6:17,454.8,2,11.22,387.9,2,11.14,1017.4,26.9,97.71,-999,-999,459.9,392.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/29/2012,9:17,419.6,2,11.27,388,2,10.99,1017.5,26.7,97.59,-999,-999,424.4,392.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/29/2012,12:17,651,2,11.09,388.5,2,10.8,1016.3,26.5,95.62,-999,-999,658.3,392.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/29/2012,15:17,544.9,2,11.22,388,2,10.79,1016.9,26.3,95.36,-999,-999,551.1,392.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/29/2012,18:17,536.7,2,11.8,388,2,10.91,1018.8,26.3,95.15,-999,-999,543.1,392.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/29/2012,21:17,551.2,2,12.65,387.8,2,11.4,1018.3,26.8,96.55,-999,-999,558.2,392.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/30/2012,0:17,439.2,2,12.66,387.3,2,11.32,1015.9,27.3,100.16,-999,-999,444.8,391.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/30/2012,3:17,505.6,2,11.43,387.4,2,10.71,1016.2,27.4,100.53,-999,-999,511.5,391.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/30/2012,6:17,469.2,2,11.29,387.4,2,10.92,1017.9,27.1,100.35,-999,-999,474.6,391.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/30/2012,9:17,469.2,2,10.67,387.8,2,10.59,1018.6,26.8,98.82,-999,-999,474.3,391.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/30/2012,12:17,602.1,2,11.12,387.4,2,10.78,1018.2,26.5,96.62,-999,-999,608.8,391.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/30/2012,15:17,571.6,2,10.96,387.6,2,10.63,1018.4,26.2,95.38,-999,-999,577.9,391.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/30/2012,18:17,534.8,2,11.64,387.4,2,10.86,1019.2,26.2,95.23,-999,-999,541,391.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/30/2012,21:17,510.6,2,12.23,387.2,2,11.1,1018.3,26.6,96.26,-999,-999,517,391.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/31/2012,0:17,423,2,12.37,387.5,2,11.34,1016.2,26.7,99.47,-999,-999,428.3,392,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/31/2012,3:17,410.1,2,11.35,387.1,2,10.71,1016.9,26.9,102.05,-999,-999,414.8,391.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/31/2012,6:17,435,2,10.59,387.5,2,10.46,1019,26.8,102.53,-999,-999,439.6,391.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/31/2012,9:17,452.6,2,10.81,387.8,2,10.55,1018.9,26.3,101.11,-999,-999,457.5,391.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/31/2012,12:17,478.3,2,10.65,387.7,2,10.54,1017.5,26.2,99.48,-999,-999,483.5,391.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/31/2012,15:17,506.6,2,10.88,388.5,2,10.59,1016.7,26,98.36,-999,-999,512.2,392.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/31/2012,18:17,539,2,11.35,387.8,2,10.79,1018,26,97.22,-999,-999,545.2,392,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,10/31/2012,21:17,498.5,2,12.49,387.4,2,11.79,1018.2,26.5,97.67,-999,-999,504.8,392,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,11/1/2012,0:17,390.5,2,12.49,386.7,2,11.23,1015.9,27.2,101.23,-999,-999,395.4,391.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,11/1/2012,3:17,424.4,2,11.32,387.3,2,10.53,1015.8,27.3,102.78,-999,-999,429.3,391.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,11/1/2012,6:17,498.6,2,10.81,387.8,2,10.08,1017.3,26.9,102.17,-999,-999,504,391.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,11/1/2012,9:17,501.9,2,10.93,388,2,10.24,1017.4,26.6,101.04,-999,-999,507.4,392,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,11/1/2012,12:17,493.9,2,10.69,388.6,2,10.16,1015.5,26.3,99.76,-999,-999,499.2,392.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,11/1/2012,15:17,486.4,2,10.15,394.9,2,9.85,1015.2,25.8,98.86,-999,-999,491.4,398.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,11/1/2012,18:17,566.3,2,11.08,392.2,2,10.19,1016.6,25.3,97.24,-999,-999,572.7,396.3,-999,-999,-999,-999,-999,-999
